@relation text_classification

@attribute 之 real
@attribute 其 real
@attribute 或 real
@attribute 亦 real
@attribute 方 real
@attribute 于 real
@attribute 即 real
@attribute 皆 real
@attribute 因 real
@attribute 仍 real
@attribute 故 real
@attribute 尚 real
@attribute 呢 real
@attribute 了 real
@attribute 的 real
@attribute 着 real
@attribute 一 real
@attribute 不 real
@attribute 乃 real
@attribute 呀 real
@attribute 吗 real
@attribute 咧 real
@attribute 啊 real
@attribute 把 real
@attribute 让 real
@attribute 向 real
@attribute 往 real
@attribute 是 real
@attribute 在 real
@attribute 越 real
@attribute 再 real
@attribute 更 real
@attribute 比 real
@attribute 很 real
@attribute 偏 real
@attribute 别 real
@attribute 好 real
@attribute 可 real
@attribute 便 real
@attribute 就 real
@attribute 但 real
@attribute 儿 real
@attribute 又 real
@attribute 也 real
@attribute 都 real
@attribute 要 real
@attribute 这 real
@attribute 那 real
@attribute 你 real
@attribute 我 real
@attribute 他 real
@attribute 来 real
@attribute 去 real
@attribute 道 real
@attribute 说 real
@attribute classification {0,1,2}

@data
0.010538,0.002195,0.001976,0.002854,0.002415,0.001976,0.001098,0.001756,0.005488,0.000220,0.001756,0.000000,0.000220,0.018441,0.006806,0.001976,0.014490,0.003293,0.003293,0.000000,0.000000,0.000000,0.000000,0.001098,0.000220,0.000220,0.000439,0.005049,0.003732,0.000000,0.001756,0.000878,0.000439,0.000000,0.000220,0.000220,0.003074,0.002195,0.007245,0.001537,0.002415,0.000439,0.008123,0.007684,0.001317,0.000878,0.006806,0.003513,0.005708,0.006367,0.005708,0.003732,0.007684,0.004610,0.005269,0
0.012297,0.006032,0.000928,0.001856,0.000464,0.001160,0.000928,0.004176,0.003944,0.000464,0.001392,0.000696,0.001392,0.011137,0.013921,0.005336,0.016705,0.002088,0.001856,0.000464,0.000000,0.000000,0.000000,0.001624,0.000000,0.001160,0.000464,0.008353,0.004640,0.000000,0.001856,0.002552,0.000696,0.000000,0.000696,0.000232,0.002320,0.002552,0.003944,0.001624,0.001160,0.000464,0.008817,0.005568,0.000232,0.000928,0.003944,0.002320,0.000928,0.004176,0.002552,0.005800,0.002320,0.006265,0.002784,0
0.003620,0.000302,0.001207,0.002715,0.001508,0.000302,0.000302,0.000302,0.002413,0.000603,0.000603,0.000000,0.001810,0.031373,0.033484,0.004525,0.011463,0.007240,0.000000,0.000000,0.000000,0.000000,0.000000,0.001810,0.000302,0.000302,0.000302,0.012066,0.004827,0.000302,0.001508,0.001207,0.000603,0.000000,0.001508,0.000905,0.004223,0.001207,0.005128,0.004827,0.000302,0.002715,0.012066,0.012368,0.004223,0.004223,0.008748,0.003318,0.013273,0.011765,0.013876,0.006335,0.011161,0.005430,0.009351,0
0.006688,0.000000,0.000000,0.001760,0.000000,0.001056,0.000000,0.001056,0.007040,0.000000,0.000352,0.000000,0.001056,0.029919,0.019007,0.003872,0.006336,0.008448,0.000352,0.000000,0.000000,0.000000,0.000000,0.000704,0.000352,0.000000,0.001408,0.005984,0.003520,0.000000,0.002112,0.000352,0.000352,0.000000,0.000352,0.001056,0.002816,0.002112,0.005280,0.005984,0.001056,0.000000,0.008096,0.008448,0.002816,0.004576,0.005984,0.001760,0.007392,0.010560,0.005984,0.007744,0.004224,0.004928,0.007040,0
0.005356,0.002329,0.006754,0.003260,0.001397,0.001630,0.000000,0.002329,0.003027,0.000233,0.000233,0.000000,0.000233,0.020028,0.013973,0.003493,0.014206,0.005356,0.000466,0.000233,0.000000,0.000000,0.000000,0.000466,0.000000,0.001164,0.000466,0.009548,0.003027,0.000233,0.004192,0.001397,0.000699,0.000233,0.000233,0.000233,0.002795,0.001397,0.003959,0.004891,0.000466,0.000000,0.008850,0.007918,0.006288,0.000932,0.006288,0.002329,0.005356,0.002562,0.004192,0.006521,0.002562,0.012576,0.008617,0
0.002856,0.002856,0.000286,0.000000,0.001428,0.000571,0.000000,0.000286,0.004283,0.001713,0.000571,0.000286,0.003427,0.033124,0.016848,0.005997,0.009138,0.007710,0.000286,0.000000,0.000000,0.000000,0.000000,0.001713,0.000571,0.000286,0.003712,0.007139,0.005997,0.000857,0.001142,0.000857,0.000286,0.000000,0.000000,0.001428,0.003998,0.001142,0.013706,0.006853,0.000000,0.003427,0.007995,0.009138,0.003998,0.003712,0.005997,0.001428,0.016562,0.022844,0.017990,0.009423,0.004569,0.012564,0.007424,0
0.000849,0.000000,0.001061,0.000637,0.000637,0.000212,0.000000,0.000212,0.001910,0.000212,0.000424,0.000212,0.003396,0.038625,0.029075,0.006367,0.013158,0.008489,0.000000,0.000000,0.000000,0.000000,0.000000,0.003820,0.000637,0.002122,0.000849,0.005093,0.006791,0.000000,0.000849,0.000849,0.000637,0.000212,0.000000,0.000637,0.003183,0.001486,0.011460,0.004457,0.000000,0.002971,0.009550,0.011672,0.006791,0.002971,0.005942,0.003820,0.013370,0.011885,0.014643,0.009762,0.007003,0.009762,0.009762,0
0.001419,0.000000,0.000608,0.000203,0.001216,0.000000,0.000000,0.000608,0.003648,0.000000,0.000203,0.000000,0.001824,0.037698,0.031212,0.007296,0.008512,0.011147,0.000203,0.000000,0.000000,0.000000,0.000000,0.001621,0.000000,0.001216,0.001013,0.008512,0.006688,0.000000,0.000608,0.000203,0.001013,0.000405,0.000203,0.000405,0.002229,0.001216,0.005878,0.004459,0.000608,0.002635,0.011958,0.014593,0.007904,0.004864,0.009526,0.003243,0.015201,0.019051,0.013377,0.010134,0.013174,0.008512,0.010134,0
0.002231,0.000000,0.001859,0.000372,0.000744,0.000744,0.000000,0.001488,0.001116,0.000372,0.000000,0.000000,0.001488,0.032726,0.025288,0.005578,0.008181,0.006694,0.000000,0.000000,0.000000,0.000000,0.000000,0.002975,0.000372,0.000372,0.001859,0.007066,0.005950,0.000372,0.001859,0.000744,0.000372,0.000000,0.000000,0.000000,0.001488,0.001488,0.008553,0.002603,0.000000,0.004835,0.008553,0.013760,0.003347,0.003719,0.003347,0.003347,0.014504,0.014132,0.015991,0.011528,0.006322,0.007810,0.010785,0
0.001880,0.000000,0.001692,0.000564,0.000940,0.000752,0.000188,0.000564,0.004513,0.000000,0.001128,0.000000,0.003009,0.034599,0.024821,0.003573,0.008650,0.005641,0.000000,0.000000,0.000000,0.000000,0.000000,0.002068,0.000752,0.000940,0.002068,0.011659,0.003385,0.000564,0.001880,0.000564,0.000752,0.000564,0.000564,0.000564,0.004137,0.002068,0.005453,0.008086,0.000376,0.001316,0.013351,0.013539,0.006017,0.005829,0.008274,0.003573,0.012035,0.022941,0.010154,0.006393,0.006581,0.017112,0.010342,0
